Wavelength,Work,label,0.727581795
544.86,16.54436,1,0.607717453
576.23,13.59762,-1,0.632365366
1041.26,44.34286,-1,0.369198187
986.55,39.10307,-1,0.834133675
985.1,43.31481,1,0.92278972
994.29,42.58168,1,0.788529265
1028.67,49.04761,1,0.970145205
865.76,51.75593,-1,0.796881841
722.42,41.71882,-1,0.188574716
778.12,48.18495,-1,0.689104913
852.26,46.60174,1,0.830105838
839.73,50.06873,-1,0.390252882
824.31,51.52116,-1,0.230268389
841.17,46.25146,1,0.584464043
814.2,51.25325,-1,0.005067549
942.54,42.87266,1,0.631368378
1044.66,47.77213,1,0.483074961
551.03,12.55747,-1,0.710751151
639.63,14.39063,-1,0.049375537
901.95,50.18502,-1,0.412750771
855.15,48.94611,-1,0.278804754
685.53,13.55468,-1,0.093585041
700.37,25.35761,-1,0.29096381
702.77,33.26823,1,0.710060391
816.13,51.39389,-1,0.261612109
769.95,45.64691,1,0.145118073
685.05,19.64258,1,0.113912145
865.76,47.06861,1,0.586241224
688.4,21.01077,1,0.252049656
534.41,10.48482,-1,0.459980106
807.94,46.70991,1,0.059203229
881.68,53.35338,-1,0.14693867
640.58,20.28639,1,0.105952709
761.3,48.55207,-1,0.561763417
653.96,18.39842,1,0.685042484
600.51,19.41097,1,0.696233199
763.7,46.65285,1,0.258202364
1017.05,37.53478,-1,0.09953017
723.38,43.69689,1,0.293440665
536.79,11.34265,-1,0.86199723
1014.63,40.45396,-1,0.116113167
627.69,14.32785,-1,0.782251651
744.01,46.8316,1,0.732942419
979.29,41.01827,1,0.7048851
871.55,50.60492,-1,0.597104418
840.21,49.79264,-1,0.242846626
731.54,44.70318,-1,0.781630057
1035.94,45.67308,-1,0.864414582
733.93,45.5445,1,0.742387969
782.45,49.84845,-1,0.085383071
863.83,46.51252,1,0.149454078
729.62,45.27918,1,0.763455997
644.88,13.54297,-1,0.501610019
902.44,50.04394,-1,0.287193365
1035.45,46.45584,1,0.947514116
637.72,20.90691,1,0.883991719
574.8,19.37786,1,0.567062926
611.48,20.14403,1,0.969474605
844.07,49.99256,-1,0.875335456
887.47,50.12764,-1,0.041950208
881.2,46.8324,1,0.272868701
574.33,19.44869,1,0.018337881
605.75,20.23693,1,0.759149695
794.47,50.51971,-1,0.940546215
855.63,50.09498,-1,0.477741665
542.96,17.42128,1,0.876414796
966.72,36.50478,-1,0.801938822
712.35,36.00654,-1,0.202344611
972.04,37.33987,-1,0.039587684
1008.82,43.92203,1,0.153809686
929.97,47.77563,-1,0.006068409
955.59,38.76388,-1,0.869632187
796.88,51.7593,-1,0.984601537
544.38,12.25145,-1,0.400290245
523.98,9.82498,-1,0.670286971
808.91,49.94761,-1,0.166542065
785.81,46.40917,1,0.346284888
999.62,42.42341,1,0.474681705
752.65,48.5658,-1,0.442244359
869.14,47.36128,1,0.271855676
617.2,20.23688,1,0.092144702
609.09,20.71524,1,0.344320836
925.14,47.16347,-1,0.612594387
653.48,12.47046,-1,0.375634456
945.92,42.60529,-1,0.4676552
